pair,lag_days,correlation
intervention_m_vs_beta,-30,0.8312470208475166
intervention_m_vs_beta,-29,0.8383799916192641
intervention_m_vs_beta,-28,0.8463221242303253
intervention_m_vs_beta,-27,0.8550135757793591
intervention_m_vs_beta,-26,0.8644084582337486
intervention_m_vs_beta,-25,0.8744318339597352
intervention_m_vs_beta,-24,0.8850233585845602
intervention_m_vs_beta,-23,0.8960964486487292
intervention_m_vs_beta,-22,0.9075443904623075
intervention_m_vs_beta,-21,0.9192548628175116
intervention_m_vs_beta,-20,0.9310761590212573
intervention_m_vs_beta,-19,0.9428216624096271
intervention_m_vs_beta,-18,0.9542494537093386
intervention_m_vs_beta,-17,0.9650462466515995
intervention_m_vs_beta,-16,0.9748091145886842
intervention_m_vs_beta,-15,0.9830099632574554
intervention_m_vs_beta,-14,0.9889561345794947
intervention_m_vs_beta,-13,0.9917463651553214
intervention_m_vs_beta,-12,0.9902214358006106
intervention_m_vs_beta,-11,0.9829236228561844
intervention_m_vs_beta,-10,0.9680832303760983
intervention_m_vs_beta,-9,0.9436773864212189
intervention_m_vs_beta,-8,0.9075706174738527
intervention_m_vs_beta,-7,0.857769050493435
intervention_m_vs_beta,-6,0.792845683915224
intervention_m_vs_beta,-5,0.7124105538111845
intervention_m_vs_beta,-4,0.617460529250478
intervention_m_vs_beta,-3,0.5104948090908402
intervention_m_vs_beta,-2,0.3951612129571186
intervention_m_vs_beta,-1,0.27564351925563896
intervention_m_vs_beta,0,0.15594251648375254
intervention_m_vs_beta,1,0.10341449459236299
intervention_m_vs_beta,2,0.049436860096930824
intervention_m_vs_beta,3,-0.005849551229908517
intervention_m_vs_beta,4,-0.06227236241035022
intervention_m_vs_beta,5,-0.11961938528809045
intervention_m_vs_beta,6,-0.17764354918975594
intervention_m_vs_beta,7,-0.23607446171721805
intervention_m_vs_beta,8,-0.29464987220373384
intervention_m_vs_beta,9,-0.3531254578627735
intervention_m_vs_beta,10,-0.41128958638240387
intervention_m_vs_beta,11,-0.46894589838244666
intervention_m_vs_beta,12,-0.5258870388769675
intervention_m_vs_beta,13,-0.5818687548929296
intervention_m_vs_beta,14,-0.6365982989507388
intervention_m_vs_beta,15,-0.6897181895715956
intervention_m_vs_beta,16,-0.7407845186558376
intervention_m_vs_beta,17,-0.7892626128263593
intervention_m_vs_beta,18,-0.8345079125958401
intervention_m_vs_beta,19,-0.8757499242853484
intervention_m_vs_beta,20,-0.9120520198066981
intervention_m_vs_beta,21,-0.94226707510765
intervention_m_vs_beta,22,-0.9649862578715172
intervention_m_vs_beta,23,-0.9784816918094296
intervention_m_vs_beta,24,-0.9806482576580037
intervention_m_vs_beta,25,-0.9690099903552253
intervention_m_vs_beta,26,-0.9408098486011202
intervention_m_vs_beta,27,-0.8932715648235673
intervention_m_vs_beta,28,-0.8240755316083834
intervention_m_vs_beta,29,-0.7320721803610728
intervention_m_vs_beta,30,-0.6179881151106394
intervention_c_vs_beta,-30,0.8551174643865112
intervention_c_vs_beta,-29,0.8623541571599149
intervention_c_vs_beta,-28,0.8701754823566415
intervention_c_vs_beta,-27,0.878548816925044
intervention_c_vs_beta,-26,0.887455951613058
intervention_c_vs_beta,-25,0.8968476943008272
intervention_c_vs_beta,-24,0.9066881246466216
intervention_c_vs_beta,-23,0.916904206605792
intervention_c_vs_beta,-22,0.9273943116665501
intervention_c_vs_beta,-21,0.9380450156872174
intervention_c_vs_beta,-20,0.9486957019348443
intervention_c_vs_beta,-19,0.9591430661838027
intervention_c_vs_beta,-18,0.96911668144688
intervention_c_vs_beta,-17,0.9782612644083962
intervention_c_vs_beta,-16,0.986118964360481
intervention_c_vs_beta,-15,0.9920939436495777
intervention_c_vs_beta,-14,0.9954137506152526
intervention_c_vs_beta,-13,0.9950875570965446
intervention_c_vs_beta,-12,0.9898640487475597
intervention_c_vs_beta,-11,0.9782006654644906
intervention_c_vs_beta,-10,0.9582638097558074
intervention_c_vs_beta,-9,0.9280055267498003
intervention_c_vs_beta,-8,0.8853265571342052
intervention_c_vs_beta,-7,0.8283540752395798
intervention_c_vs_beta,-6,0.7558822202814954
intervention_c_vs_beta,-5,0.6678404157320621
intervention_c_vs_beta,-4,0.5656172478969229
intervention_c_vs_beta,-3,0.45211322559122785
intervention_c_vs_beta,-2,0.33131289454980317
intervention_c_vs_beta,-1,0.20761619689266467
intervention_c_vs_beta,0,0.0850989134183416
intervention_c_vs_beta,1,0.025713012917112046
intervention_c_vs_beta,2,-0.033485461061759314
intervention_c_vs_beta,3,-0.0924211007497031
intervention_c_vs_beta,4,-0.15103343545797965
intervention_c_vs_beta,5,-0.20927148517526895
intervention_c_vs_beta,6,-0.2670906622023452
intervention_c_vs_beta,7,-0.32445245019491287
intervention_c_vs_beta,8,-0.3813270332129564
intervention_c_vs_beta,9,-0.43768710802084027
intervention_c_vs_beta,10,-0.4935081170847843
intervention_c_vs_beta,11,-0.548733425199807
intervention_c_vs_beta,12,-0.603239403263203
intervention_c_vs_beta,13,-0.6568018734673673
intervention_c_vs_beta,14,-0.7090836949057414
intervention_c_vs_beta,15,-0.7596025567186532
intervention_c_vs_beta,16,-0.8076999716098033
intervention_c_vs_beta,17,-0.8525338362539264
intervention_c_vs_beta,18,-0.8930523822882698
intervention_c_vs_beta,19,-0.9279611101655593
intervention_c_vs_beta,20,-0.9556830725984314
intervention_c_vs_beta,21,-0.9743226865849142
intervention_c_vs_beta,22,-0.9816479415104636
intervention_c_vs_beta,23,-0.9751183617585142
intervention_c_vs_beta,24,-0.9519858532725534
intervention_c_vs_beta,25,-0.909547161310517
intervention_c_vs_beta,26,-0.8455371277042766
intervention_c_vs_beta,27,-0.7586945908137984
intervention_c_vs_beta,28,-0.6493636728503484
intervention_c_vs_beta,29,-0.5199790075257822
intervention_c_vs_beta,30,-0.37510146725194443
vaccine_m_vs_nu,-30,-0.9872917498684952
vaccine_m_vs_nu,-29,-0.9861574943034931
vaccine_m_vs_nu,-28,-0.9848164592858408
vaccine_m_vs_nu,-27,-0.9832214479023228
vaccine_m_vs_nu,-26,-0.9813241939953118
vaccine_m_vs_nu,-25,-0.9790824464037061
vaccine_m_vs_nu,-24,-0.9764575743269239
vaccine_m_vs_nu,-23,-0.9734125902373252
vaccine_m_vs_nu,-22,-0.9699159046969685
vaccine_m_vs_nu,-21,-0.9659407038819698
vaccine_m_vs_nu,-20,-0.961467235192115
vaccine_m_vs_nu,-19,-0.9564897581074342
vaccine_m_vs_nu,-18,-0.9510160462990898
