date,observed_case,observed_vaccine,no_information_case,no_information_vaccine,spline_beta_case,spline_beta_vaccine,semi_mechanistic_case,semi_mechanistic_vaccine,counterfactual_M_zero_case,counterfactual_M_zero_vaccine,counterfactual_C_zero_case,counterfactual_C_zero_vaccine
2021-03-28,925307.2115614576,3044824.481589331,925307.2115614576,3044824.481589331,925307.2115614576,3044824.481589331,925307.2115614576,3044824.481589331,925307.2115614576,3044824.481589331,925307.2115614576,3044824.481589331
2021-03-29,929513.916100436,3186600.411574099,930815.0888730638,3267952.2595440242,929642.0439253913,3267930.8584854044,927245.9770907117,3143897.0355003537,1168060.8150811843,3044958.9872219544,925307.2115625928,41294788.13923648
2021-03-30,933858.1312566362,3314870.023180639,936325.5487557867,3489746.7659135046,934161.5710968794,3489710.427457268,930352.3049787116,3256801.7344487435,1617531.014262219,3045096.7428067974,925307.211563473,41294824.481557466
2021-03-31,938375.9102173272,3430920.33078528,941860.0489033741,3710215.7387129907,938861.9390868379,3710169.9137613825,934467.4466802934,3381779.8380158325,2597675.384838465,3045236.5023776465,925307.2115643278,41294824.48159163
2021-04-01,943087.4885286868,3535915.649248496,947434.0318700086,3929366.7665863167,943740.593376955,3929316.0242575314,939337.8645441679,3517153.8957098173,4726258.015416604,3045375.151154022,925307.2115651498,41294824.48160574
2021-04-02,948010.4117972672,3630909.302579587,953058.5284798639,4147207.3193843295,948795.9118791233,4147155.4412411773,944731.5781007101,3661423.916537997,9043160.957515772,3045506.003474865,925307.2115659334,41294824.48160594
2021-04-03,953103.0250431796,3836425.536703528,958741.3507422219,4363744.771052551,954026.8586166151,4363694.818095933,950481.526624794,3813315.2894020732,16578337.266017709,3045617.20934141,925307.2115666757,41294824.48160812
2021-04-04,958305.1639230368,4022365.413759193,964487.935869075,4578986.415987063,959432.6803129794,4578940.777054053,956480.7281090246,3971779.0854501,26525502.071130183,3045694.6555877826,925307.2115673745,41294824.481522575
2021-04-05,963601.0653982406,4190593.962362929,970301.9738838694,4792939.481330301,965012.6371968263,4792899.908550882,962665.8988166684,4135973.0135250264,35052467.175403915,3045733.7594711417,925307.2115680296,41294824.48150898
2021-04-06,969088.8564564,4342798.478018336,976185.8651348418,5005611.136075629,970765.7691057723,5005578.772003856,969001.4511109566,4305232.188084726,39426395.097342916,3045746.7427412947,925307.211568641,41294824.48157217
2021-04-07,974888.4607767996,4480505.470281921,982141.0497141345,5217008.497767171,976690.6987510606,5216983.897811753,975468.0997667458,4479038.872989504,40949259.77738036,3045749.5317740636,925307.2115692097,41294824.481552735
2021-04-08,980954.8457820428,4605095.99224686,988168.2525549753,5427138.63761129,982785.4686368312,5427121.790357014,982055.5598904593,4656994.206957202,41500048.14315321,3045749.9447644893,925307.2115697371,41294824.48107098
