pair,lag_days,correlation
intervention_m_vs_beta,-30,0.21989643004098966
intervention_m_vs_beta,-29,0.08916330134645661
intervention_m_vs_beta,-28,-0.03130948761957049
intervention_m_vs_beta,-27,-0.13951135866198686
intervention_m_vs_beta,-26,-0.2349401891817856
intervention_m_vs_beta,-25,-0.31807433259855067
intervention_m_vs_beta,-24,-0.38993144432495375
intervention_m_vs_beta,-23,-0.4517566475807544
intervention_m_vs_beta,-22,-0.5048467751164453
intervention_m_vs_beta,-21,-0.5504619074158421
intervention_m_vs_beta,-20,-0.589786064569668
intervention_m_vs_beta,-19,-0.6238900409105935
intervention_m_vs_beta,-18,-0.6537115410907536
intervention_m_vs_beta,-17,-0.6800490016875623
intervention_m_vs_beta,-16,-0.7035722496883634
intervention_m_vs_beta,-15,-0.7248472177342199
intervention_m_vs_beta,-14,-0.7443691022273161
intervention_m_vs_beta,-13,-0.7625997824279954
intervention_m_vs_beta,-12,-0.7799982146471258
intervention_m_vs_beta,-11,-0.7970458599243224
intervention_m_vs_beta,-10,-0.8142619865849428
intervention_m_vs_beta,-9,-0.8321648720955934
intervention_m_vs_beta,-8,-0.8510344837356887
intervention_m_vs_beta,-7,-0.8702731955151937
intervention_m_vs_beta,-6,-0.8879968844139211
intervention_m_vs_beta,-5,-0.9020062497906787
intervention_m_vs_beta,-4,-0.9106243619774852
intervention_m_vs_beta,-3,-0.912699010314232
intervention_m_vs_beta,-2,-0.9075478241960473
intervention_m_vs_beta,-1,-0.8947137283358377
intervention_m_vs_beta,0,-0.874156713235251
intervention_m_vs_beta,1,-0.885180088060758
intervention_m_vs_beta,2,-0.8862452334473412
intervention_m_vs_beta,3,-0.8778665105053964
intervention_m_vs_beta,4,-0.8610614142302638
intervention_m_vs_beta,5,-0.8376718817741126
intervention_m_vs_beta,6,-0.8098635748163846
intervention_m_vs_beta,7,-0.7788439998843766
intervention_m_vs_beta,8,-0.7448500737219773
intervention_m_vs_beta,9,-0.7077952785296447
intervention_m_vs_beta,10,-0.6675376138423442
intervention_m_vs_beta,11,-0.6239523472332202
intervention_m_vs_beta,12,-0.5769587352419151
intervention_m_vs_beta,13,-0.5265407795673077
intervention_m_vs_beta,14,-0.47277115478375326
intervention_m_vs_beta,15,-0.4158471077866544
intervention_m_vs_beta,16,-0.3561503622665391
intervention_m_vs_beta,17,-0.2943237313847718
intervention_m_vs_beta,18,-0.23133080456043742
intervention_m_vs_beta,19,-0.1683896406312669
intervention_m_vs_beta,20,-0.10666818169923503
intervention_m_vs_beta,21,-0.04686243548963184
intervention_m_vs_beta,22,0.011031220469400959
intervention_m_vs_beta,23,0.06750187817180375
intervention_m_vs_beta,24,0.12315466814439618
intervention_m_vs_beta,25,0.17845914850910075
intervention_m_vs_beta,26,0.23364802083866973
intervention_m_vs_beta,27,0.2887518738701536
intervention_m_vs_beta,28,0.34363133343925967
intervention_m_vs_beta,29,0.3980449782587657
intervention_m_vs_beta,30,0.45169242908946566
intervention_c_vs_beta,-30,-0.6923664518159864
intervention_c_vs_beta,-29,-0.7274311533707528
intervention_c_vs_beta,-28,-0.7576927465499785
intervention_c_vs_beta,-27,-0.7836872665298624
intervention_c_vs_beta,-26,-0.8059307955667105
intervention_c_vs_beta,-25,-0.824910093356612
intervention_c_vs_beta,-24,-0.8410607457674653
intervention_c_vs_beta,-23,-0.8547492886241539
intervention_c_vs_beta,-22,-0.8662799539839489
intervention_c_vs_beta,-21,-0.8759274337339215
intervention_c_vs_beta,-20,-0.8839770416177296
intervention_c_vs_beta,-19,-0.8907367566178956
intervention_c_vs_beta,-18,-0.8965226852677876
intervention_c_vs_beta,-17,-0.901636509863177
intervention_c_vs_beta,-16,-0.9063416545391085
intervention_c_vs_beta,-15,-0.9108515181333688
intervention_c_vs_beta,-14,-0.9153292712110876
intervention_c_vs_beta,-13,-0.9198954802647511
intervention_c_vs_beta,-12,-0.9246300025759315
intervention_c_vs_beta,-11,-0.9295647267226855
intervention_c_vs_beta,-10,-0.9346530911222001
intervention_c_vs_beta,-9,-0.9396563340646911
intervention_c_vs_beta,-8,-0.9438471436666087
intervention_c_vs_beta,-7,-0.9455884897097065
intervention_c_vs_beta,-6,-0.9426527555048453
intervention_c_vs_beta,-5,-0.9333391076990828
intervention_c_vs_beta,-4,-0.9166894368308653
intervention_c_vs_beta,-3,-0.8922098578252206
intervention_c_vs_beta,-2,-0.859855043712765
intervention_c_vs_beta,-1,-0.8196634159359094
intervention_c_vs_beta,0,-0.7721392925054734
intervention_c_vs_beta,1,-0.7656444463401985
intervention_c_vs_beta,2,-0.7524941258133967
intervention_c_vs_beta,3,-0.7331885247303958
intervention_c_vs_beta,4,-0.7085097151971015
intervention_c_vs_beta,5,-0.6797330557509049
intervention_c_vs_beta,6,-0.6482129364946688
intervention_c_vs_beta,7,-0.6145332752479876
intervention_c_vs_beta,8,-0.5786548727400141
intervention_c_vs_beta,9,-0.5403929642068878
intervention_c_vs_beta,10,-0.4995736987433572
intervention_c_vs_beta,11,-0.45607420192948545
intervention_c_vs_beta,12,-0.40984084426698186
intervention_c_vs_beta,13,-0.36090036275721715
intervention_c_vs_beta,14,-0.3093769081649978
intervention_c_vs_beta,15,-0.2555219981857285
intervention_c_vs_beta,16,-0.19976191764028162
intervention_c_vs_beta,17,-0.14274935727546517
intervention_c_vs_beta,18,-0.08538477762925016
intervention_c_vs_beta,19,-0.0287238828328384
intervention_c_vs_beta,20,0.026295750836042277
intervention_c_vs_beta,21,0.07921979429146049
intervention_c_vs_beta,22,0.13025371450230241
intervention_c_vs_beta,23,0.18003456539162319
intervention_c_vs_beta,24,0.22927352153169633
intervention_c_vs_beta,25,0.2785283249056056
intervention_c_vs_beta,26,0.32810388142494845
intervention_c_vs_beta,27,0.3780802840514824
intervention_c_vs_beta,28,0.42835272551811887
intervention_c_vs_beta,29,0.47869419138646485
intervention_c_vs_beta,30,0.5287784513116859
vaccine_m_vs_nu,-30,-0.9568483441207658
vaccine_m_vs_nu,-29,-0.9532025302672731
vaccine_m_vs_nu,-28,-0.9449412058892709
vaccine_m_vs_nu,-27,-0.9311124182737242
vaccine_m_vs_nu,-26,-0.9106443681627303
vaccine_m_vs_nu,-25,-0.8824111635442121
vaccine_m_vs_nu,-24,-0.8453571682448684
vaccine_m_vs_nu,-23,-0.7986310092916389
vaccine_m_vs_nu,-22,-0.7417467574288966
vaccine_m_vs_nu,-21,-0.6747580753438861
vaccine_m_vs_nu,-20,-0.5983604061873898
vaccine_m_vs_nu,-19,-0.5139047681813318
vaccine_m_vs_nu,-18,-0.4232929632916983
vaccine_m_vs_nu,-17,-0.3287607452697668
vaccine_m_vs_nu,-16,-0.23263231039076385
vaccine_m_vs_nu,-15,-0.1370902415019416
vaccine_m_vs_nu,-14,-0.043994647044043
vaccine_m_vs_nu,-13,0.04520578272400334
vaccine_m_vs_nu,-12,0.12951129164232367
vaccine_m_vs_nu,-11,0.20839193728077843
vaccine_m_vs_nu,-10,0.2818425367953015
vaccine_m_vs_nu,-9,0.3504871131665245
vaccine_m_vs_nu,-8,0.4157321826503543
vaccine_m_vs_nu,-7,0.4798846975403001
vaccine_m_vs_nu,-6,0.5459508585042877
vaccine_m_vs_nu,-5,0.6166443353453227
vaccine_m_vs_nu,-4,0.6919368758453647
vaccine_m_vs_nu,-3,0.7656074605019917
vaccine_m_vs_nu,-2,0.8142966529174568
vaccine_m_vs_nu,-1,0.811799172682248
vaccine_m_vs_nu,0,0.7129301048549074
vaccine_m_vs_nu,1,0.7323470763654691
vaccine_m_vs_nu,2,0.746731670424639
vaccine_m_vs_nu,3,0.7547280719663833
vaccine_m_vs_nu,4,0.7547590236094869
vaccine_m_vs_nu,5,0.7450616953871232
vaccine_m_vs_nu,6,0.723764412461872
vaccine_m_vs_nu,7,0.6890129291916768
vaccine_m_vs_nu,8,0.6391534604952753
vaccine_m_vs_nu,9,0.572978856138716
vaccine_m_vs_nu,10,0.4900173284886672
vaccine_m_vs_nu,11,0.39082765616972764
vaccine_m_vs_nu,12,0.2771720342864048
vaccine_m_vs_nu,13,0.15202909045879412
vaccine_m_vs_nu,14,0.019436287049196175
vaccine_m_vs_nu,15,-0.11586503977399615
vaccine_m_vs_nu,16,-0.24887975622593775
vaccine_m_vs_nu,17,-0.37486643791687857
vaccine_m_vs_nu,18,-0.4897887526240877
vaccine_m_vs_nu,19,-0.5906314482930264
vaccine_m_vs_nu,20,-0.675545611510059
vaccine_m_vs_nu,21,-0.7438121084392058
vaccine_m_vs_nu,22,-0.7956632574435751
vaccine_m_vs_nu,23,-0.8320674587149993
